{'loss': 0.5688, 'grad_norm': 2.4384899139404297, 'learning_rate': 1.52130898021309e-05, 'epoch': 3.18}                                                                
{'loss': 0.5003, 'grad_norm': 2.06432843208313, 'learning_rate': 1.4573820395738205e-05, 'epoch': 3.47}                                                                
{'loss': 0.6277, 'grad_norm': 1.9517866373062134, 'learning_rate': 1.4558599695585998e-05, 'epoch': 3.47}                                                              
{'loss': 0.7451, 'grad_norm': 2.2371013164520264, 'learning_rate': 1.454337899543379e-05, 'epoch': 3.48}                                                               
{'loss': 0.6845, 'grad_norm': 2.7396669387817383, 'learning_rate': 1.4528158295281585e-05, 'epoch': 3.49}                                                              
{'loss': 0.5723, 'grad_norm': 2.320446252822876, 'learning_rate': 1.4512937595129376e-05, 'epoch': 3.49}                                                               
{'loss': 0.6892, 'grad_norm': 2.3051633834838867, 'learning_rate': 1.449771689497717e-05, 'epoch': 3.5}                                                                
{'loss': 0.6019, 'grad_norm': 2.770693302154541, 'learning_rate': 1.4482496194824962e-05, 'epoch': 3.51}                                                               
{'loss': 0.5846, 'grad_norm': 2.1774024963378906, 'learning_rate': 1.4467275494672757e-05, 'epoch': 3.51}                                                              
{'loss': 0.6695, 'grad_norm': 2.1332128047943115, 'learning_rate': 1.445205479452055e-05, 'epoch': 3.52}                                                               
{'loss': 0.5639, 'grad_norm': 2.0543386936187744, 'learning_rate': 1.4436834094368342e-05, 'epoch': 3.53}                                                              
{'loss': 0.7277, 'grad_norm': 2.0201168060302734, 'learning_rate': 1.4421613394216133e-05, 'epoch': 3.53}                                                              
{'loss': 0.6148, 'grad_norm': 2.1227385997772217, 'learning_rate': 1.4406392694063928e-05, 'epoch': 3.54}                                                              
{'loss': 0.5599, 'grad_norm': 1.7862311601638794, 'learning_rate': 1.439117199391172e-05, 'epoch': 3.55}                                                               
{'loss': 0.6655, 'grad_norm': 1.9362599849700928, 'learning_rate': 1.4375951293759514e-05, 'epoch': 3.55}                                                              
{'loss': 0.6141, 'grad_norm': 2.262517213821411, 'learning_rate': 1.4360730593607306e-05, 'epoch': 3.56}                                                               
{'loss': 0.5826, 'grad_norm': 2.1757848262786865, 'learning_rate': 1.4345509893455101e-05, 'epoch': 3.57}                                                              
{'loss': 0.6263, 'grad_norm': 2.52805233001709, 'learning_rate': 1.4330289193302894e-05, 'epoch': 3.58}                                                                
{'loss': 0.6656, 'grad_norm': 2.0150973796844482, 'learning_rate': 1.4315068493150685e-05, 'epoch': 3.58}                                                              
{'loss': 0.6799, 'grad_norm': 2.561182737350464, 'learning_rate': 1.4299847792998478e-05, 'epoch': 3.59}                                                               
{'loss': 0.5265, 'grad_norm': 2.259127140045166, 'learning_rate': 1.4284627092846272e-05, 'epoch': 3.6}                                                                
{'loss': 0.5937, 'grad_norm': 2.7130794525146484, 'learning_rate': 1.4269406392694065e-05, 'epoch': 3.6}                                                               
{'loss': 0.6046, 'grad_norm': 2.079511880874634, 'learning_rate': 1.4254185692541858e-05, 'epoch': 3.61}                                                               
{'loss': 0.4526, 'grad_norm': 2.0998806953430176, 'learning_rate': 1.4238964992389651e-05, 'epoch': 3.62}                                                              
{'loss': 0.6449, 'grad_norm': 1.9379141330718994, 'learning_rate': 1.4223744292237445e-05, 'epoch': 3.62}                                                              
{'loss': 0.536, 'grad_norm': 1.9619189500808716, 'learning_rate': 1.4208523592085237e-05, 'epoch': 3.63}                                                               
{'loss': 0.5633, 'grad_norm': 1.9936811923980713, 'learning_rate': 1.419330289193303e-05, 'epoch': 3.64}                                                               
{'loss': 0.5782, 'grad_norm': 2.196244716644287, 'learning_rate': 1.4178082191780822e-05, 'epoch': 3.64}                                                               
{'loss': 0.4378, 'grad_norm': 2.2428627014160156, 'learning_rate': 1.4162861491628617e-05, 'epoch': 3.65}                                                              
{'loss': 0.648, 'grad_norm': 2.5248656272888184, 'learning_rate': 1.414764079147641e-05, 'epoch': 3.66}                                                                
{'loss': 0.5556, 'grad_norm': 2.7737276554107666, 'learning_rate': 1.41324200913242e-05, 'epoch': 3.66}                                                                
{'loss': 0.4959, 'grad_norm': 1.906724452972412, 'learning_rate': 1.4117199391171994e-05, 'epoch': 3.67}                                                               
{'loss': 0.679, 'grad_norm': 2.7945456504821777, 'learning_rate': 1.4101978691019788e-05, 'epoch': 3.68}                                                               
{'loss': 0.6405, 'grad_norm': 2.4932920932769775, 'learning_rate': 1.4086757990867581e-05, 'epoch': 3.68}                                                              
{'loss': 0.5152, 'grad_norm': 1.8734924793243408, 'learning_rate': 1.4071537290715374e-05, 'epoch': 3.69}                                                              
{'loss': 0.383, 'grad_norm': 1.527799367904663, 'learning_rate': 1.4056316590563167e-05, 'epoch': 3.7}                                                                 
{'loss': 0.702, 'grad_norm': 2.7386600971221924, 'learning_rate': 1.4041095890410961e-05, 'epoch': 3.71}                                                               
{'loss': 0.6335, 'grad_norm': 2.0527703762054443, 'learning_rate': 1.4025875190258752e-05, 'epoch': 3.71}                                                              
{'loss': 0.6093, 'grad_norm': 2.1007206439971924, 'learning_rate': 1.4010654490106545e-05, 'epoch': 3.72}                                                              
{'loss': 0.492, 'grad_norm': 2.119065761566162, 'learning_rate': 1.3995433789954338e-05, 'epoch': 3.73}                                                                
{'loss': 0.6187, 'grad_norm': 2.137087106704712, 'learning_rate': 1.3980213089802133e-05, 'epoch': 3.73}                                                               
{'loss': 0.6495, 'grad_norm': 2.1161231994628906, 'learning_rate': 1.3964992389649925e-05, 'epoch': 3.74}                                                              
{'loss': 0.5704, 'grad_norm': 2.37394118309021, 'learning_rate': 1.3949771689497718e-05, 'epoch': 3.75}                                                                
{'loss': 0.484, 'grad_norm': 1.9712626934051514, 'learning_rate': 1.393455098934551e-05, 'epoch': 3.75}                                                                
{'loss': 0.6368, 'grad_norm': 2.0764224529266357, 'learning_rate': 1.3919330289193304e-05, 'epoch': 3.76}                                                              
{'loss': 0.6319, 'grad_norm': 2.2190568447113037, 'learning_rate': 1.3904109589041097e-05, 'epoch': 3.77}                                                              
{'loss': 0.5639, 'grad_norm': 1.8633387088775635, 'learning_rate': 1.388888888888889e-05, 'epoch': 3.77}                                                               
{'loss': 0.6699, 'grad_norm': 3.5932304859161377, 'learning_rate': 1.3873668188736682e-05, 'epoch': 3.78}                                                              
{'loss': 0.51, 'grad_norm': 1.8155629634857178, 'learning_rate': 1.3858447488584477e-05, 'epoch': 3.79}                                                                
{'loss': 0.5607, 'grad_norm': 2.0843493938446045, 'learning_rate': 1.384322678843227e-05, 'epoch': 3.79}                                                               
{'loss': 0.6214, 'grad_norm': 2.75960373878479, 'learning_rate': 1.3828006088280061e-05, 'epoch': 3.8}                                                                 
{'loss': 0.4584, 'grad_norm': 2.0696287155151367, 'learning_rate': 1.3812785388127854e-05, 'epoch': 3.81}                                                              
{'loss': 0.6842, 'grad_norm': 2.2314817905426025, 'learning_rate': 1.3797564687975648e-05, 'epoch': 3.82}                                                              
{'loss': 0.6032, 'grad_norm': 83.55107879638672, 'learning_rate': 1.3782343987823441e-05, 'epoch': 3.82}                                                               
{'loss': 0.5984, 'grad_norm': 2.204125165939331, 'learning_rate': 1.3767123287671234e-05, 'epoch': 3.83}                                                               
{'loss': 0.5151, 'grad_norm': 1.9505994319915771, 'learning_rate': 1.3751902587519025e-05, 'epoch': 3.84}                                                              
{'loss': 0.6508, 'grad_norm': 1.9096910953521729, 'learning_rate': 1.3736681887366821e-05, 'epoch': 3.84}                                                              
{'loss': 0.581, 'grad_norm': 2.055333375930786, 'learning_rate': 1.3721461187214612e-05, 'epoch': 3.85}                                                                
{'loss': 0.5965, 'grad_norm': 7.338919639587402, 'learning_rate': 1.3706240487062405e-05, 'epoch': 3.86}                                                               
{'loss': 0.516, 'grad_norm': 1.7944433689117432, 'learning_rate': 1.3691019786910198e-05, 'epoch': 3.86}                                                               
{'loss': 0.5712, 'grad_norm': 2.040630340576172, 'learning_rate': 1.3675799086757993e-05, 'epoch': 3.87}                                                               
{'loss': 0.8411, 'grad_norm': 3.347592353820801, 'learning_rate': 1.3660578386605786e-05, 'epoch': 3.88}                                                               
{'loss': 0.6854, 'grad_norm': 2.7166435718536377, 'learning_rate': 1.3645357686453577e-05, 'epoch': 3.88}                                                              
{'loss': 0.4816, 'grad_norm': 2.1391806602478027, 'learning_rate': 1.363013698630137e-05, 'epoch': 3.89}                                                               
{'loss': 0.5213, 'grad_norm': 2.0705904960632324, 'learning_rate': 1.3614916286149164e-05, 'epoch': 3.9}                                                               
{'loss': 0.6338, 'grad_norm': 2.2099244594573975, 'learning_rate': 1.3599695585996957e-05, 'epoch': 3.9}                                                               
{'loss': 0.5894, 'grad_norm': 2.5973117351531982, 'learning_rate': 1.358447488584475e-05, 'epoch': 3.91}                                                               
{'loss': 0.4229, 'grad_norm': 2.060697078704834, 'learning_rate': 1.3569254185692543e-05, 'epoch': 3.92}                                                               
{'loss': 0.6026, 'grad_norm': 7.500985622406006, 'learning_rate': 1.3554033485540337e-05, 'epoch': 3.92}                                                               
{'loss': 0.4086, 'grad_norm': 1.671122670173645, 'learning_rate': 1.3538812785388128e-05, 'epoch': 3.93}                                                               
{'loss': 0.9225, 'grad_norm': 5.675836086273193, 'learning_rate': 1.3523592085235921e-05, 'epoch': 3.94}                                                               
{'loss': 0.607, 'grad_norm': 2.7821238040924072, 'learning_rate': 1.3508371385083714e-05, 'epoch': 3.95}                                                               
{'loss': 0.549, 'grad_norm': 2.0499062538146973, 'learning_rate': 1.3493150684931508e-05, 'epoch': 3.95}                                                               
{'loss': 0.5157, 'grad_norm': 2.3589136600494385, 'learning_rate': 1.3477929984779301e-05, 'epoch': 3.96}                                                              
{'loss': 0.5614, 'grad_norm': 2.000718355178833, 'learning_rate': 1.3462709284627094e-05, 'epoch': 3.97}                                                               
{'loss': 0.7144, 'grad_norm': 1.873636245727539, 'learning_rate': 1.3447488584474885e-05, 'epoch': 3.97}                                                               
{'loss': 0.5751, 'grad_norm': 3.1583235263824463, 'learning_rate': 1.343226788432268e-05, 'epoch': 3.98}                                                               
{'loss': 0.3921, 'grad_norm': 2.1989872455596924, 'learning_rate': 1.3417047184170473e-05, 'epoch': 3.99}                                                              
{'loss': 0.5384, 'grad_norm': 2.4062914848327637, 'learning_rate': 1.3401826484018266e-05, 'epoch': 3.99}                                                              
{'loss': 0.5698, 'grad_norm': 2.4560201168060303, 'learning_rate': 1.3386605783866058e-05, 'epoch': 4.0}                                                               
{'eval_loss': 0.5733062624931335, 'eval_accuracy': 0.8565603869627979, 'eval_runtime': 478.1001, 'eval_samples_per_second': 2.677, 'eval_steps_per_second': 0.335, 'epoch': 4.0}
{'loss': 0.545, 'grad_norm': 2.4647042751312256, 'learning_rate': 1.3371385083713853e-05, 'epoch': 4.01}                                                               
{'loss': 0.4519, 'grad_norm': 1.7925645112991333, 'learning_rate': 1.3356164383561646e-05, 'epoch': 4.01}
{'loss': 0.597, 'grad_norm': 1.7243742942810059, 'learning_rate': 1.3340943683409437e-05, 'epoch': 4.02}                                                               
{'loss': 0.4877, 'grad_norm': 2.9168612957000732, 'learning_rate': 1.332572298325723e-05, 'epoch': 4.03}                                                               
{'loss': 0.5938, 'grad_norm': 1.8150031566619873, 'learning_rate': 1.3310502283105024e-05, 'epoch': 4.03}                                                              
{'loss': 0.6036, 'grad_norm': 2.665674924850464, 'learning_rate': 1.3295281582952817e-05, 'epoch': 4.04}                                                               
{'loss': 0.6468, 'grad_norm': 2.486067771911621, 'learning_rate': 1.328006088280061e-05, 'epoch': 4.05}                                                                
{'loss': 0.6386, 'grad_norm': 1.7143033742904663, 'learning_rate': 1.3264840182648401e-05, 'epoch': 4.05}                                                              
{'loss': 0.5796, 'grad_norm': 2.1990232467651367, 'learning_rate': 1.3249619482496197e-05, 'epoch': 4.06}                                                              
{'loss': 0.4766, 'grad_norm': 1.8442883491516113, 'learning_rate': 1.3234398782343988e-05, 'epoch': 4.07}                                                              
{'loss': 0.4862, 'grad_norm': 2.3894765377044678, 'learning_rate': 1.3219178082191781e-05, 'epoch': 4.08}                                                              
{'loss': 0.5628, 'grad_norm': 2.05185604095459, 'learning_rate': 1.3203957382039574e-05, 'epoch': 4.08}                                                                
{'loss': 0.718, 'grad_norm': 2.167407512664795, 'learning_rate': 1.3188736681887369e-05, 'epoch': 4.09}                                                                
{'loss': 0.6367, 'grad_norm': 2.4046661853790283, 'learning_rate': 1.3173515981735162e-05, 'epoch': 4.1}                                                               
{'loss': 0.4362, 'grad_norm': 2.268010377883911, 'learning_rate': 1.3158295281582953e-05, 'epoch': 4.1}                                                                
{'loss': 0.5776, 'grad_norm': 2.4804980754852295, 'learning_rate': 1.3143074581430745e-05, 'epoch': 4.11}                                                              
{'loss': 0.4938, 'grad_norm': 1.7327378988265991, 'learning_rate': 1.312785388127854e-05, 'epoch': 4.12}                                                               
{'loss': 0.5258, 'grad_norm': 2.3703436851501465, 'learning_rate': 1.3112633181126333e-05, 'epoch': 4.12}                                                              
{'loss': 0.5956, 'grad_norm': 2.4330971240997314, 'learning_rate': 1.3097412480974126e-05, 'epoch': 4.13}                                                              
{'loss': 0.5785, 'grad_norm': 1.9279499053955078, 'learning_rate': 1.3082191780821919e-05, 'epoch': 4.14}                                                              
{'loss': 0.5266, 'grad_norm': 2.490023374557495, 'learning_rate': 1.3066971080669713e-05, 'epoch': 4.14}                                                               
{'loss': 0.413, 'grad_norm': 1.8440728187561035, 'learning_rate': 1.3051750380517504e-05, 'epoch': 4.15}                                                               
{'loss': 0.5349, 'grad_norm': 1.9190189838409424, 'learning_rate': 1.3036529680365297e-05, 'epoch': 4.16}                                                              
{'loss': 0.4721, 'grad_norm': 2.871121406555176, 'learning_rate': 1.302130898021309e-05, 'epoch': 4.16}                                                                
{'loss': 0.4841, 'grad_norm': 1.8909034729003906, 'learning_rate': 1.3006088280060884e-05, 'epoch': 4.17}                                                              
{'loss': 0.6936, 'grad_norm': 2.4805479049682617, 'learning_rate': 1.2990867579908677e-05, 'epoch': 4.18}                                                              
{'loss': 0.4616, 'grad_norm': 2.5191447734832764, 'learning_rate': 1.297564687975647e-05, 'epoch': 4.18}                                                               
{'loss': 0.4262, 'grad_norm': 1.9481804370880127, 'learning_rate': 1.2960426179604261e-05, 'epoch': 4.19}                                                              
{'loss': 0.4692, 'grad_norm': 2.072157382965088, 'learning_rate': 1.2945205479452056e-05, 'epoch': 4.2}                                                                
{'loss': 0.4735, 'grad_norm': 2.298367738723755, 'learning_rate': 1.2929984779299849e-05, 'epoch': 4.21}                                                               
{'loss': 0.5248, 'grad_norm': 2.118664264678955, 'learning_rate': 1.2914764079147641e-05, 'epoch': 4.21}                                                               
{'loss': 0.5625, 'grad_norm': 2.7543797492980957, 'learning_rate': 1.2899543378995434e-05, 'epoch': 4.22}                                                              
{'loss': 0.4773, 'grad_norm': 2.5296411514282227, 'learning_rate': 1.2884322678843229e-05, 'epoch': 4.23}                                                              
{'loss': 0.5228, 'grad_norm': 2.580570936203003, 'learning_rate': 1.2869101978691022e-05, 'epoch': 4.23}                                                               
{'loss': 0.6435, 'grad_norm': 2.017277479171753, 'learning_rate': 1.2853881278538813e-05, 'epoch': 4.24}                                                               
{'loss': 0.5553, 'grad_norm': 2.398838758468628, 'learning_rate': 1.2838660578386606e-05, 'epoch': 4.25}                                                               
{'loss': 0.5593, 'grad_norm': 2.0615923404693604, 'learning_rate': 1.28234398782344e-05, 'epoch': 4.25}                                                                
{'loss': 0.5653, 'grad_norm': 1.7657538652420044, 'learning_rate': 1.2808219178082193e-05, 'epoch': 4.26}                                                              
{'loss': 0.5869, 'grad_norm': 1.9402769804000854, 'learning_rate': 1.2792998477929986e-05, 'epoch': 4.27}                                                              
{'loss': 0.4889, 'grad_norm': 3.0331220626831055, 'learning_rate': 1.2777777777777777e-05, 'epoch': 4.27}                                                              
{'loss': 0.5028, 'grad_norm': 1.9148808717727661, 'learning_rate': 1.2762557077625573e-05, 'epoch': 4.28}                                                              
{'loss': 0.5518, 'grad_norm': 1.814460277557373, 'learning_rate': 1.2747336377473364e-05, 'epoch': 4.29}                                                               
{'loss': 0.5774, 'grad_norm': 2.06547212600708, 'learning_rate': 1.2732115677321157e-05, 'epoch': 4.29}                                                                
{'loss': 0.5641, 'grad_norm': 2.154632806777954, 'learning_rate': 1.271689497716895e-05, 'epoch': 4.3}                                                                 
{'loss': 0.5392, 'grad_norm': 1.5965182781219482, 'learning_rate': 1.2701674277016745e-05, 'epoch': 4.31}                                                              
{'loss': 0.3857, 'grad_norm': 2.0799176692962646, 'learning_rate': 1.2686453576864537e-05, 'epoch': 4.32}                                                              
{'loss': 0.478, 'grad_norm': 2.386910915374756, 'learning_rate': 1.2671232876712329e-05, 'epoch': 4.32}                                                                
{'loss': 0.5326, 'grad_norm': 1.7311846017837524, 'learning_rate': 1.2656012176560121e-05, 'epoch': 4.33}                                                              
{'loss': 0.5172, 'grad_norm': 3.315519094467163, 'learning_rate': 1.2640791476407916e-05, 'epoch': 4.34}                                                               
{'loss': 0.5024, 'grad_norm': 2.029933214187622, 'learning_rate': 1.2625570776255709e-05, 'epoch': 4.34}                                                               
{'loss': 0.5247, 'grad_norm': 2.72161865234375, 'learning_rate': 1.2610350076103502e-05, 'epoch': 4.35}                                                                
{'loss': 0.6793, 'grad_norm': 3.7257561683654785, 'learning_rate': 1.2595129375951295e-05, 'epoch': 4.36}                                                              
{'loss': 0.691, 'grad_norm': 2.533292055130005, 'learning_rate': 1.2579908675799089e-05, 'epoch': 4.36}                                                                
{'loss': 0.5555, 'grad_norm': 2.1051788330078125, 'learning_rate': 1.256468797564688e-05, 'epoch': 4.37}                                                               
{'loss': 0.5883, 'grad_norm': 2.1184537410736084, 'learning_rate': 1.2549467275494673e-05, 'epoch': 4.38}                                                              
{'loss': 0.5816, 'grad_norm': 2.304710626602173, 'learning_rate': 1.2534246575342466e-05, 'epoch': 4.38}                                                               
{'loss': 0.5095, 'grad_norm': 2.2525181770324707, 'learning_rate': 1.251902587519026e-05, 'epoch': 4.39}                                                               
{'loss': 0.4932, 'grad_norm': 2.942378520965576, 'learning_rate': 1.2503805175038053e-05, 'epoch': 4.4}                                                                
{'loss': 0.5143, 'grad_norm': 3.007237672805786, 'learning_rate': 1.2488584474885846e-05, 'epoch': 4.4}                                                                
{'loss': 0.5364, 'grad_norm': 2.264760732650757, 'learning_rate': 1.2473363774733637e-05, 'epoch': 4.41}                                                               
{'loss': 0.5925, 'grad_norm': 2.3434879779815674, 'learning_rate': 1.2458143074581432e-05, 'epoch': 4.42}                                                              
{'loss': 0.5674, 'grad_norm': 2.4267122745513916, 'learning_rate': 1.2442922374429225e-05, 'epoch': 4.42}                                                              
{'loss': 0.5685, 'grad_norm': 3.03635311126709, 'learning_rate': 1.2427701674277017e-05, 'epoch': 4.43}                                                                
{'loss': 0.4352, 'grad_norm': 2.485260248184204, 'learning_rate': 1.241248097412481e-05, 'epoch': 4.44}                                                                
{'loss': 0.5466, 'grad_norm': 2.1787984371185303, 'learning_rate': 1.2397260273972605e-05, 'epoch': 4.45}                                                              
{'loss': 0.5979, 'grad_norm': 2.65864896774292, 'learning_rate': 1.2382039573820398e-05, 'epoch': 4.45}                                                                
{'loss': 0.5186, 'grad_norm': 1.729251742362976, 'learning_rate': 1.2366818873668189e-05, 'epoch': 4.46}                                                               
{'loss': 0.586, 'grad_norm': 3.693431854248047, 'learning_rate': 1.2351598173515982e-05, 'epoch': 4.47}                                                                
{'loss': 0.6033, 'grad_norm': 2.6121714115142822, 'learning_rate': 1.2336377473363776e-05, 'epoch': 4.47}                                                              
{'loss': 0.6663, 'grad_norm': 2.8732075691223145, 'learning_rate': 1.2321156773211569e-05, 'epoch': 4.48}                                                              
{'loss': 0.4771, 'grad_norm': 2.518955707550049, 'learning_rate': 1.2305936073059362e-05, 'epoch': 4.49}                                                               
{'loss': 0.5725, 'grad_norm': 2.4244329929351807, 'learning_rate': 1.2290715372907153e-05, 'epoch': 4.49}                                                              
{'loss': 0.5829, 'grad_norm': 2.8106956481933594, 'learning_rate': 1.227549467275495e-05, 'epoch': 4.5}                                                                
{'loss': 0.5067, 'grad_norm': 2.302208423614502, 'learning_rate': 1.226027397260274e-05, 'epoch': 4.51}                                                                
{'loss': 0.5757, 'grad_norm': 1.9279884099960327, 'learning_rate': 1.2245053272450533e-05, 'epoch': 4.51}                                                              
{'loss': 0.4917, 'grad_norm': 1.5563455820083618, 'learning_rate': 1.2229832572298326e-05, 'epoch': 4.52}                                                              
{'loss': 0.4613, 'grad_norm': 3.0101449489593506, 'learning_rate': 1.221461187214612e-05, 'epoch': 4.53}                                                               
{'loss': 0.5132, 'grad_norm': 2.454561233520508, 'learning_rate': 1.2199391171993913e-05, 'epoch': 4.53}                                                               
{'loss': 0.4295, 'grad_norm': 2.839168071746826, 'learning_rate': 1.2184170471841705e-05, 'epoch': 4.54}                                                               
{'loss': 0.5964, 'grad_norm': 1.8811465501785278, 'learning_rate': 1.2168949771689497e-05, 'epoch': 4.55}                                                              
{'loss': 0.4601, 'grad_norm': 1.9949430227279663, 'learning_rate': 1.2153729071537292e-05, 'epoch': 4.55}                                                              
{'loss': 0.479, 'grad_norm': 2.1550605297088623, 'learning_rate': 1.2138508371385085e-05, 'epoch': 4.56}                                                               
{'loss': 0.5476, 'grad_norm': 2.8400888442993164, 'learning_rate': 1.2123287671232878e-05, 'epoch': 4.57}                                                              
{'loss': 0.6114, 'grad_norm': 2.583587408065796, 'learning_rate': 1.210806697108067e-05, 'epoch': 4.58}                                                                
{'loss': 0.5968, 'grad_norm': 1.733524203300476, 'learning_rate': 1.2092846270928465e-05, 'epoch': 4.58}                                                               
{'loss': 0.5349, 'grad_norm': 2.139557123184204, 'learning_rate': 1.2077625570776256e-05, 'epoch': 4.59}                                                               
{'loss': 0.4897, 'grad_norm': 1.78217351436615, 'learning_rate': 1.2062404870624049e-05, 'epoch': 4.6}                                                                 
{'loss': 0.513, 'grad_norm': 2.614546060562134, 'learning_rate': 1.2047184170471842e-05, 'epoch': 4.6}                                                                 
{'loss': 0.5673, 'grad_norm': 2.2814555168151855, 'learning_rate': 1.2031963470319636e-05, 'epoch': 4.61}                                                              
{'loss': 0.507, 'grad_norm': 2.541898250579834, 'learning_rate': 1.201674277016743e-05, 'epoch': 4.62}                                                                 
