พลเรือ	NN	B_DES	B_CLS
กระทรวง	NN	B_STY	I_CLS
ทหาร	NN	I_STY	I_CLS
เรือ	NN	E_STY	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
ปี	NN	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
2443	NU	E_DTM	I_CLS
_	PU	O	I_CLS
รับ	VV	O	I_CLS
พระราชทาน	VV	O	I_CLS
ยศ	NN	O	I_CLS
เป็น	VV	O	I_CLS
_	PU	O	I_CLS
“	PU	O	I_CLS
นาย	NN	O	I_CLS
เรือโท	NN	O	I_CLS
_	PU	O	I_CLS
ผู้	FX	O	I_CLS
บังคับ	VV	O	I_CLS
การ	FX	O	I_CLS
”	PU	O	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
ตำแหน่ง	NN	O	I_CLS
นายธง	NN	O	I_CLS
ผู้	FX	O	I_CLS
บัญชา	VV	O	I_CLS
การ	FX	O	I_CLS
กรมทหาร	NN	O	I_CLS
เรือ	NN	O	I_CLS
_	PU	O	I_CLS
ปี	NN	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
2448	NU	E_DTM	I_CLS
_	PU	O	I_CLS
ทรง	VV	O	I_CLS
ดำรง	VV	O	I_CLS
ตำแหน่ง	NN	O	I_CLS
เจ้า	NN	O	I_CLS
กรมยุทธศึกษา	NN	O	I_CLS
ทหาร	NN	O	I_CLS
เรือ	NN	O	I_CLS
_	PU	O	I_CLS
ทรง	VV	O	I_CLS
ปรับปรุง	VV	O	I_CLS
การ	FX	O	I_CLS
ศึกษา	VV	O	I_CLS
ของ	PS	O	I_CLS
โรงเรียน	NN	B_EDU	I_CLS
นาย	NN	I_EDU	I_CLS
เรือ	NN	E_EDU	I_CLS
ให้	CC	O	I_CLS
เจริญก้าวหน้า	VV	O	I_CLS
มาก	VV	O	I_CLS
ขึ้น	AV	O	I_CLS
_	PU	O	I_CLS
ทำ	VV	O	I_CLS
ให้	CC	O	I_CLS
ทหาร	NN	O	I_CLS
เรือ	NN	O	I_CLS
ไทย	NN	O	I_CLS
มี	VV	O	I_CLS
ความ	FX	O	I_CLS
รู้	VV	O	I_CLS
_	PU	O	I_CLS
ความ	FX	O	I_CLS
ชำนาญ	VV	O	I_CLS
_	PU	O	I_CLS
สามารถ	AX	O	I_CLS
เป็น	VV	O	I_CLS
ครู	NN	O	I_CLS
_	PU	O	I_CLS
และ	CC	O	I_CLS
เป็น	VV	O	I_CLS
ผู้	FX	O	I_CLS
บังคับบัญชา	VV	O	I_CLS
ได้	AX	O	I_CLS
โดย	CC	O	I_CLS
ไม่	NG	O	I_CLS
ต้อง	AX	O	I_CLS
พึ่งพา	VV	O	I_CLS
ชาว	FX	O	I_CLS
ต่าง	VV	O	I_CLS
ประเทศ	NN	O	E_CLS
 
ด้วย	PS	O	B_CLS
พระกรณียกิจ	NN	O	I_CLS
ตลอด	PS	O	I_CLS
ระยะ	NN	O	I_CLS
เวลา	NN	O	I_CLS
ที่	CC	O	I_CLS
ทรง	VV	O	I_CLS
รับ	VV	O	I_CLS
ราชการ	NN	O	I_CLS
ทหาร	NN	O	I_CLS
เรือ	NN	O	I_CLS
_	PU	O	I_CLS
ส่ง	VV	O	I_CLS
ผล	NN	O	I_CLS
ให้	CC	O	I_CLS
กอง	NN	O	I_CLS
ทัพ	NN	O	I_CLS
เรือ	NN	O	I_CLS
มี	VV	O	I_CLS
ความ	FX	O	I_CLS
เจริญก้าวหน้า	VV	O	I_CLS
_	PU	O	I_CLS
สามารถ	AX	O	I_CLS
ทำ	VV	O	I_CLS
หน้าที่	NN	O	I_CLS
รั้ว	NN	O	I_CLS
ของ	PS	O	I_CLS
ชาติ	NN	O	I_CLS
ทาง	NN	O	I_CLS
ทะเล	NN	O	I_CLS
ได้	AX	O	I_CLS
อย่าง	FX	O	I_CLS
เข้มแข็ง	VV	O	I_CLS
สืบต่อ	VV	O	I_CLS
มา	AV	O	I_CLS
_	PU	O	I_CLS
กอง	NN	B_STY	I_CLS
ทัพ	NN	I_STY	I_CLS
เรือ	NN	E_STY	I_CLS
จึง	CC	O	I_CLS
ได้	AX	O	I_CLS
ประกาศ	VV	O	I_CLS
ขนาน	VV	O	I_CLS
พระนามเป็น	NN	O	I_CLS
_	PU	O	I_CLS
“	PU	O	I_CLS
องค์	NN	O	I_CLS
บิดา	NN	O	I_CLS
ของ	PS	O	I_CLS
ทหาร	NN	O	I_CLS
เรือ	NN	O	I_CLS
ไทย	NN	O	I_CLS
”	PU	O	I_CLS
_	PU	O	I_CLS
และ	CC	O	I_CLS
กำหนด	VV	O	I_CLS
ให้	CC	O	I_CLS
วัน	NN	O	I_CLS
ที่	PS	O	I_CLS
_	PU	O	I_CLS
19	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
พฤษภาคม	NN	E_DTM	I_CLS
ของ	PS	O	I_CLS
ทุก	AJ	O	I_CLS
ปี	CL	O	I_CLS
_	PU	O	I_CLS
อัน	CC	O	I_CLS
เป็น	VV	O	I_CLS
วัน	NN	O	I_CLS
คล้าย	VV	O	I_CLS
วัน	NN	O	I_CLS
สิ้น	VV	O	I_CLS
พระชนม์	NN	O	I_CLS
ของ	PS	O	I_CLS
พระองค์	PR	O	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	I_CLS
_	PU	O	I_CLS
“	PU	O	I_CLS
วันอาภากร”	NN	O	I_CLS
_	PU	O	I_CLS
โดย	CC	O	I_CLS
กำหนด	VV	O	I_CLS
จัด	VV	O	I_CLS
กิจกรรม	NN	O	I_CLS
ต่าง	AJ	O	I_CLS
_	PU	O	I_CLS
ๆ	PU	O	I_CLS
_	PU	O	I_CLS
เพื่อ	CC	O	I_CLS
เทิด	VV	O	I_CLS
พระเกียรติ	NN	O	I_CLS
และ	CC	O	I_CLS
น้อมรำลึก	NN	O	I_CLS
ใน	PS	O	I_CLS
พระกรุณาคุณ	NN	O	I_CLS
ของ	PS	O	I_CLS
พระองค์	PR	O	I_CLS
เป็น	VV	O	I_CLS
ประจำ	VV	O	I_CLS
ทุก	AJ	O	I_CLS
ปี	CL	O	E_CLS
